ts_utc,ts_local,zone_id,zone_name,load_mw
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4008,NEMASSBOST,2881.042
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4007,WCMASS,1813.144
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4006,SEMASS,1834.015
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4005,RHODEISLAND,1007.275
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4001,MAINE,1529.472
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4003,VERMONT,591.96
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4004,CONNECTICUT,3479.845
2025-08-03 00:00:00+00:00,2025-08-02 20:00:00-04:00,4002,NEWHAMPSHIRE,1314.338
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4002,NEWHAMPSHIRE,1315.328
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4003,VERMONT,605.353
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4004,CONNECTICUT,3477.459
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4005,RHODEISLAND,1014.485
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4006,SEMASS,1832.441
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4007,WCMASS,1812.471
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4008,NEMASSBOST,2891.553
2025-08-03 00:05:00+00:00,2025-08-02 20:05:00-04:00,4001,MAINE,1534.371
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4008,NEMASSBOST,2890.049
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4007,WCMASS,1813.775
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4006,SEMASS,1833.447
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4003,VERMONT,591.658
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4004,CONNECTICUT,3475.577
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4002,NEWHAMPSHIRE,1311.423
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4001,MAINE,1530.64
2025-08-03 00:10:00+00:00,2025-08-02 20:10:00-04:00,4005,RHODEISLAND,1007.599
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4008,NEMASSBOST,2890.827
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4005,RHODEISLAND,1011.051
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4007,WCMASS,1818.01
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4006,SEMASS,1833.964
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4003,VERMONT,597.332
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4002,NEWHAMPSHIRE,1313.039
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4004,CONNECTICUT,3458.344
2025-08-03 00:15:00+00:00,2025-08-02 20:15:00-04:00,4001,MAINE,1529.86
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4001,MAINE,1529.499
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4002,NEWHAMPSHIRE,1314.144
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4003,VERMONT,609.767
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4004,CONNECTICUT,3457.109
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4005,RHODEISLAND,1013.083
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4006,SEMASS,1836.737
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4007,WCMASS,1820.942
2025-08-03 00:20:00+00:00,2025-08-02 20:20:00-04:00,4008,NEMASSBOST,2889.063
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4008,NEMASSBOST,2898.654
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4007,WCMASS,1819.469
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4006,SEMASS,1833.499
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4001,MAINE,1526.924
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4004,CONNECTICUT,3469.189
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4003,VERMONT,609.236
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4002,NEWHAMPSHIRE,1313.267
2025-08-03 00:25:00+00:00,2025-08-02 20:25:00-04:00,4005,RHODEISLAND,1013.713
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4008,NEMASSBOST,2896.296
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4007,WCMASS,1815.675
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4006,SEMASS,1828.863
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4004,CONNECTICUT,3453.153
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4001,MAINE,1518.479
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4005,RHODEISLAND,1010.811
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4003,VERMONT,611.936
2025-08-03 00:30:00+00:00,2025-08-02 20:30:00-04:00,4002,NEWHAMPSHIRE,1309.839
2025-08-03 00:35:00+00:00,2025-08-02 20:35:00-04:00,4001,MAINE,1518.07
2025-08-03 00:35:00+00:00,2025-08-02 20:35:00-04:00,4002,NEWHAMPSHIRE,1303.926
