ts_utc,ts_local,location,load_mw,is_system
2025-07-30 00:00:00+00:00,2025-07-29 20:00:00-04:00,ISONE,24205.029,True
2025-07-30 00:05:00+00:00,2025-07-29 20:05:00-04:00,ISONE,24193.619,True
2025-07-30 00:10:00+00:00,2025-07-29 20:10:00-04:00,ISONE,24207.447,True
2025-07-30 00:15:00+00:00,2025-07-29 20:15:00-04:00,ISONE,24090.383,True
2025-07-30 00:20:00+00:00,2025-07-29 20:20:00-04:00,ISONE,24044.969,True
2025-07-30 00:25:00+00:00,2025-07-29 20:25:00-04:00,ISONE,23990.922,True
2025-07-30 00:30:00+00:00,2025-07-29 20:30:00-04:00,ISONE,23913.934,True
2025-07-30 00:35:00+00:00,2025-07-29 20:35:00-04:00,ISONE,23861.787,True
2025-07-30 00:40:00+00:00,2025-07-29 20:40:00-04:00,ISONE,23761.279,True
2025-07-30 00:45:00+00:00,2025-07-29 20:45:00-04:00,ISONE,23693.576,True
2025-07-30 00:50:00+00:00,2025-07-29 20:50:00-04:00,ISONE,23547.146,True
2025-07-30 00:55:00+00:00,2025-07-29 20:55:00-04:00,ISONE,23414.25,True
2025-07-30 01:00:00+00:00,2025-07-29 21:00:00-04:00,ISONE,23296.279,True
2025-07-30 01:05:00+00:00,2025-07-29 21:05:00-04:00,ISONE,23128.887,True
2025-07-30 01:10:00+00:00,2025-07-29 21:10:00-04:00,ISONE,23005.715,True
2025-07-30 01:15:00+00:00,2025-07-29 21:15:00-04:00,ISONE,22878.203,True
2025-07-30 01:20:00+00:00,2025-07-29 21:20:00-04:00,ISONE,22731.936,True
2025-07-30 01:25:00+00:00,2025-07-29 21:25:00-04:00,ISONE,22576.945,True
2025-07-30 01:30:00+00:00,2025-07-29 21:30:00-04:00,ISONE,22452.297,True
2025-07-30 01:35:00+00:00,2025-07-29 21:35:00-04:00,ISONE,22294.383,True
2025-07-30 01:40:00+00:00,2025-07-29 21:40:00-04:00,ISONE,22133.012,True
2025-07-30 01:45:00+00:00,2025-07-29 21:45:00-04:00,ISONE,21969.66,True
2025-07-30 01:50:00+00:00,2025-07-29 21:50:00-04:00,ISONE,21771.691,True
2025-07-30 01:55:00+00:00,2025-07-29 21:55:00-04:00,ISONE,21812.59,True
2025-07-30 02:00:00+00:00,2025-07-29 22:00:00-04:00,ISONE,21685.658,True
2025-07-30 02:05:00+00:00,2025-07-29 22:05:00-04:00,ISONE,21531.111,True
2025-07-30 02:10:00+00:00,2025-07-29 22:10:00-04:00,ISONE,21325.73,True
2025-07-30 02:15:00+00:00,2025-07-29 22:15:00-04:00,ISONE,21208.34,True
2025-07-30 02:20:00+00:00,2025-07-29 22:20:00-04:00,ISONE,21032.338,True
2025-07-30 02:25:00+00:00,2025-07-29 22:25:00-04:00,ISONE,20864.715,True
2025-07-30 02:30:00+00:00,2025-07-29 22:30:00-04:00,ISONE,20776.789,True
2025-07-30 02:35:00+00:00,2025-07-29 22:35:00-04:00,ISONE,20587.277,True
2025-07-30 02:40:00+00:00,2025-07-29 22:40:00-04:00,ISONE,20340.49,True
2025-07-30 02:45:00+00:00,2025-07-29 22:45:00-04:00,ISONE,20169.752,True
2025-07-30 02:50:00+00:00,2025-07-29 22:50:00-04:00,ISONE,20276.537,True
2025-07-30 02:55:00+00:00,2025-07-29 22:55:00-04:00,ISONE,20133.326,True
2025-07-30 03:00:00+00:00,2025-07-29 23:00:00-04:00,ISONE,19949.297,True
2025-07-30 03:05:00+00:00,2025-07-29 23:05:00-04:00,ISONE,19713.0,True
2025-07-30 03:10:00+00:00,2025-07-29 23:10:00-04:00,ISONE,19622.271,True
2025-07-30 03:15:00+00:00,2025-07-29 23:15:00-04:00,ISONE,19499.092,True
