ts_utc,ts_local,location,load_mw,is_system
2025-08-27 00:00:00+00:00,2025-08-26 20:00:00-04:00,ISONE,15793.188,True
2025-08-27 00:05:00+00:00,2025-08-26 20:05:00-04:00,ISONE,15735.493,True
2025-08-27 00:10:00+00:00,2025-08-26 20:10:00-04:00,ISONE,15687.291,True
2025-08-27 00:15:00+00:00,2025-08-26 20:15:00-04:00,ISONE,15588.534,True
2025-08-27 00:20:00+00:00,2025-08-26 20:20:00-04:00,ISONE,15577.105,True
2025-08-27 00:25:00+00:00,2025-08-26 20:25:00-04:00,ISONE,15483.284,True
2025-08-27 00:30:00+00:00,2025-08-26 20:30:00-04:00,ISONE,15433.339,True
2025-08-27 00:35:00+00:00,2025-08-26 20:35:00-04:00,ISONE,15320.978,True
2025-08-27 00:40:00+00:00,2025-08-26 20:40:00-04:00,ISONE,15260.787,True
2025-08-27 00:45:00+00:00,2025-08-26 20:45:00-04:00,ISONE,15188.806,True
2025-08-27 00:50:00+00:00,2025-08-26 20:50:00-04:00,ISONE,15059.182,True
2025-08-27 00:55:00+00:00,2025-08-26 20:55:00-04:00,ISONE,14993.92,True
2025-08-27 01:00:00+00:00,2025-08-26 21:00:00-04:00,ISONE,14858.692,True
2025-08-27 01:05:00+00:00,2025-08-26 21:05:00-04:00,ISONE,14858.084,True
2025-08-27 01:10:00+00:00,2025-08-26 21:10:00-04:00,ISONE,14703.327,True
2025-08-27 01:15:00+00:00,2025-08-26 21:15:00-04:00,ISONE,14692.062,True
2025-08-27 01:20:00+00:00,2025-08-26 21:20:00-04:00,ISONE,14527.152,True
2025-08-27 01:25:00+00:00,2025-08-26 21:25:00-04:00,ISONE,14493.877,True
2025-08-27 01:30:00+00:00,2025-08-26 21:30:00-04:00,ISONE,14398.899,True
2025-08-27 01:35:00+00:00,2025-08-26 21:35:00-04:00,ISONE,14314.185,True
2025-08-27 01:40:00+00:00,2025-08-26 21:40:00-04:00,ISONE,14209.569,True
2025-08-27 01:45:00+00:00,2025-08-26 21:45:00-04:00,ISONE,14112.118,True
2025-08-27 01:50:00+00:00,2025-08-26 21:50:00-04:00,ISONE,14026.711,True
2025-08-27 01:55:00+00:00,2025-08-26 21:55:00-04:00,ISONE,13886.825,True
2025-08-27 02:00:00+00:00,2025-08-26 22:00:00-04:00,ISONE,13748.17,True
2025-08-27 02:05:00+00:00,2025-08-26 22:05:00-04:00,ISONE,13606.776,True
2025-08-27 02:10:00+00:00,2025-08-26 22:10:00-04:00,ISONE,13486.183,True
2025-08-27 02:15:00+00:00,2025-08-26 22:15:00-04:00,ISONE,13428.566,True
2025-08-27 02:20:00+00:00,2025-08-26 22:20:00-04:00,ISONE,13294.765,True
2025-08-27 02:25:00+00:00,2025-08-26 22:25:00-04:00,ISONE,13226.189,True
2025-08-27 02:30:00+00:00,2025-08-26 22:30:00-04:00,ISONE,13123.949,True
2025-08-27 02:35:00+00:00,2025-08-26 22:35:00-04:00,ISONE,13031.971,True
2025-08-27 02:40:00+00:00,2025-08-26 22:40:00-04:00,ISONE,12909.122,True
2025-08-27 02:45:00+00:00,2025-08-26 22:45:00-04:00,ISONE,12796.064,True
2025-08-27 02:50:00+00:00,2025-08-26 22:50:00-04:00,ISONE,12679.438,True
2025-08-27 02:55:00+00:00,2025-08-26 22:55:00-04:00,ISONE,12578.865,True
2025-08-27 03:00:00+00:00,2025-08-26 23:00:00-04:00,ISONE,12478.728,True
2025-08-27 03:05:00+00:00,2025-08-26 23:05:00-04:00,ISONE,12375.708,True
2025-08-27 03:10:00+00:00,2025-08-26 23:10:00-04:00,ISONE,12319.721,True
2025-08-27 03:15:00+00:00,2025-08-26 23:15:00-04:00,ISONE,12227.22,True
2025-08-27 03:20:00+00:00,2025-08-26 23:20:00-04:00,ISONE,12084.459,True
2025-08-27 03:25:00+00:00,2025-08-26 23:25:00-04:00,ISONE,12028.786,True
2025-08-27 03:30:00+00:00,2025-08-26 23:30:00-04:00,ISONE,11964.21,True
2025-08-27 03:35:00+00:00,2025-08-26 23:35:00-04:00,ISONE,12142.112,True
2025-08-27 03:40:00+00:00,2025-08-26 23:40:00-04:00,ISONE,12017.918,True
2025-08-27 03:45:00+00:00,2025-08-26 23:45:00-04:00,ISONE,11946.908,True
2025-08-27 03:50:00+00:00,2025-08-26 23:50:00-04:00,ISONE,11882.224,True
2025-08-27 03:55:00+00:00,2025-08-26 23:55:00-04:00,ISONE,11851.976,True
2025-08-27 04:00:00+00:00,2025-08-27 00:00:00-04:00,ISONE,11746.102,True
2025-08-27 04:05:00+00:00,2025-08-27 00:05:00-04:00,ISONE,12007.713,True
2025-08-27 04:10:00+00:00,2025-08-27 00:10:00-04:00,ISONE,11979.162,True
2025-08-27 04:15:00+00:00,2025-08-27 00:15:00-04:00,ISONE,11902.99,True
2025-08-27 04:20:00+00:00,2025-08-27 00:20:00-04:00,ISONE,11848.012,True
2025-08-27 04:25:00+00:00,2025-08-27 00:25:00-04:00,ISONE,11784.601,True
2025-08-27 04:30:00+00:00,2025-08-27 00:30:00-04:00,ISONE,11726.283,True
2025-08-27 04:35:00+00:00,2025-08-27 00:35:00-04:00,ISONE,11626.784,True
2025-08-27 04:40:00+00:00,2025-08-27 00:40:00-04:00,ISONE,11608.614,True
2025-08-27 04:45:00+00:00,2025-08-27 00:45:00-04:00,ISONE,11543.784,True
