ts_utc,ts_local,zone_id,zone_name,load_mw
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4008,NEMASSBOST,4732.017
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4007,WCMASS,3049.465
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4006,SEMASS,3116.104
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4005,RHODEISLAND,1728.863
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4001,MAINE,1932.622
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4003,VERMONT,813.581
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4004,CONNECTICUT,5583.279
2025-07-31 00:00:00+00:00,2025-07-30 20:00:00-04:00,4002,NEWHAMPSHIRE,2067.33
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4002,NEWHAMPSHIRE,2058.764
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4003,VERMONT,812.499
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4004,CONNECTICUT,5541.504
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4005,RHODEISLAND,1722.146
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4006,SEMASS,3108.444
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4007,WCMASS,3039.905
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4008,NEMASSBOST,4720.691
2025-07-31 00:05:00+00:00,2025-07-30 20:05:00-04:00,4001,MAINE,1935.443
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4008,NEMASSBOST,4727.394
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4007,WCMASS,3031.098
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4006,SEMASS,3108.13
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4003,VERMONT,812.015
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4004,CONNECTICUT,5562.382
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4002,NEWHAMPSHIRE,2052.641
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4001,MAINE,1926.728
2025-07-31 00:10:00+00:00,2025-07-30 20:10:00-04:00,4005,RHODEISLAND,1720.543
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4008,NEMASSBOST,4723.666
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4005,RHODEISLAND,1723.885
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4007,WCMASS,3037.993
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4006,SEMASS,3099.022
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4003,VERMONT,815.433
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4002,NEWHAMPSHIRE,2055.467
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4004,CONNECTICUT,5555.916
2025-07-31 00:15:00+00:00,2025-07-30 20:15:00-04:00,4001,MAINE,1922.671
2025-07-31 00:20:00+00:00,2025-07-30 20:20:00-04:00,4001,MAINE,1921.913
2025-07-31 00:20:00+00:00,2025-07-30 20:20:00-04:00,4002,NEWHAMPSHIRE,2040.402
2025-07-31 00:20:00+00:00,2025-07-30 20:20:00-04:00,4003,VERMONT,812.436
2025-07-31 00:20:00+00:00,2025-07-30 20:20:00-04:00,4004,CONNECTICUT,5504.517
2025-07-31 00:20:00+00:00,2025-07-30 20:20:00-04:00,4005,RHODEISLAND,1709.963
