ts_utc,ts_local,zone_id,zone_name,load_mw
2025-08-19 00:30:00+00:00,2025-08-18 20:30:00-04:00,4002,NEWHAMPSHIRE,1379.326
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4001,MAINE,1500.567
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4002,NEWHAMPSHIRE,1368.732
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4003,VERMONT,611.139
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4004,CONNECTICUT,3763.937
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4005,RHODEISLAND,1020.501
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4006,SEMASS,1793.361
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4007,WCMASS,1973.186
2025-08-19 00:35:00+00:00,2025-08-18 20:35:00-04:00,4008,NEMASSBOST,2927.704
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4008,NEMASSBOST,2915.475
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4007,WCMASS,1950.257
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4006,SEMASS,1785.433
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4003,VERMONT,606.218
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4004,CONNECTICUT,3780.236
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4002,NEWHAMPSHIRE,1362.554
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4005,RHODEISLAND,1022.711
2025-08-19 00:40:00+00:00,2025-08-18 20:40:00-04:00,4001,MAINE,1501.821
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4006,SEMASS,1776.761
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4008,NEMASSBOST,2913.63
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4007,WCMASS,1965.743
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4005,RHODEISLAND,1017.291
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4003,VERMONT,612.733
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4002,NEWHAMPSHIRE,1359.182
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4001,MAINE,1500.217
2025-08-19 00:45:00+00:00,2025-08-18 20:45:00-04:00,4004,CONNECTICUT,3722.701
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4001,MAINE,1491.842
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4002,NEWHAMPSHIRE,1355.245
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4003,VERMONT,606.278
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4004,CONNECTICUT,3701.36
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4005,RHODEISLAND,1024.047
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4006,SEMASS,1766.152
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4007,WCMASS,1956.08
2025-08-19 00:50:00+00:00,2025-08-18 20:50:00-04:00,4008,NEMASSBOST,2899.294
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4008,NEMASSBOST,2893.722
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4007,WCMASS,1922.112
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4006,SEMASS,1737.629
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4002,NEWHAMPSHIRE,1349.691
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4004,CONNECTICUT,3705.673
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4003,VERMONT,605.365
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4001,MAINE,1481.299
2025-08-19 00:55:00+00:00,2025-08-18 20:55:00-04:00,4005,RHODEISLAND,1002.073
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4008,NEMASSBOST,2871.696
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4007,WCMASS,1948.181
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4006,SEMASS,1725.741
2025-08-19 01:00:00+00:00,2025-08-18 21:00:00-04:00,4004,CONNECTICUT,3668.249
