ts_utc,ts_local,location,load_mw,is_system
2025-08-09 00:00:00+00:00,2025-08-08 20:00:00-04:00,ISONE,16503.625,True
2025-08-09 00:05:00+00:00,2025-08-08 20:05:00-04:00,ISONE,16472.934,True
2025-08-09 00:10:00+00:00,2025-08-08 20:10:00-04:00,ISONE,16428.443,True
2025-08-09 00:15:00+00:00,2025-08-08 20:15:00-04:00,ISONE,16382.984,True
2025-08-09 00:20:00+00:00,2025-08-08 20:20:00-04:00,ISONE,16343.615,True
2025-08-09 00:25:00+00:00,2025-08-08 20:25:00-04:00,ISONE,16277.799,True
2025-08-09 00:30:00+00:00,2025-08-08 20:30:00-04:00,ISONE,16238.109,True
2025-08-09 00:35:00+00:00,2025-08-08 20:35:00-04:00,ISONE,16201.834,True
2025-08-09 00:40:00+00:00,2025-08-08 20:40:00-04:00,ISONE,16090.567,True
2025-08-09 00:45:00+00:00,2025-08-08 20:45:00-04:00,ISONE,16096.503,True
2025-08-09 00:50:00+00:00,2025-08-08 20:50:00-04:00,ISONE,16030.898,True
2025-08-09 00:55:00+00:00,2025-08-08 20:55:00-04:00,ISONE,15936.275,True
2025-08-09 01:00:00+00:00,2025-08-08 21:00:00-04:00,ISONE,15844.701,True
2025-08-09 01:05:00+00:00,2025-08-08 21:05:00-04:00,ISONE,15730.836,True
2025-08-09 01:10:00+00:00,2025-08-08 21:10:00-04:00,ISONE,15648.532,True
2025-08-09 01:15:00+00:00,2025-08-08 21:15:00-04:00,ISONE,15625.591,True
2025-08-09 01:20:00+00:00,2025-08-08 21:20:00-04:00,ISONE,15523.455,True
2025-08-09 01:25:00+00:00,2025-08-08 21:25:00-04:00,ISONE,15431.832,True
2025-08-09 01:30:00+00:00,2025-08-08 21:30:00-04:00,ISONE,15347.814,True
2025-08-09 01:35:00+00:00,2025-08-08 21:35:00-04:00,ISONE,15288.205,True
2025-08-09 01:40:00+00:00,2025-08-08 21:40:00-04:00,ISONE,15198.412,True
2025-08-09 01:45:00+00:00,2025-08-08 21:45:00-04:00,ISONE,15096.109,True
2025-08-09 01:50:00+00:00,2025-08-08 21:50:00-04:00,ISONE,14985.396,True
2025-08-09 01:55:00+00:00,2025-08-08 21:55:00-04:00,ISONE,14866.988,True
2025-08-09 02:00:00+00:00,2025-08-08 22:00:00-04:00,ISONE,14759.285,True
2025-08-09 02:05:00+00:00,2025-08-08 22:05:00-04:00,ISONE,14637.417,True
2025-08-09 02:10:00+00:00,2025-08-08 22:10:00-04:00,ISONE,14513.427,True
2025-08-09 02:15:00+00:00,2025-08-08 22:15:00-04:00,ISONE,14448.975,True
2025-08-09 02:20:00+00:00,2025-08-08 22:20:00-04:00,ISONE,14318.789,True
2025-08-09 02:25:00+00:00,2025-08-08 22:25:00-04:00,ISONE,14195.928,True
2025-08-09 02:30:00+00:00,2025-08-08 22:30:00-04:00,ISONE,14130.368,True
2025-08-09 02:35:00+00:00,2025-08-08 22:35:00-04:00,ISONE,14039.022,True
2025-08-09 02:40:00+00:00,2025-08-08 22:40:00-04:00,ISONE,13927.217,True
2025-08-09 02:45:00+00:00,2025-08-08 22:45:00-04:00,ISONE,13853.643,True
2025-08-09 02:50:00+00:00,2025-08-08 22:50:00-04:00,ISONE,13685.311,True
2025-08-09 02:55:00+00:00,2025-08-08 22:55:00-04:00,ISONE,13633.716,True
2025-08-09 03:00:00+00:00,2025-08-08 23:00:00-04:00,ISONE,13504.474,True
2025-08-09 03:05:00+00:00,2025-08-08 23:05:00-04:00,ISONE,13389.739,True
2025-08-09 03:10:00+00:00,2025-08-08 23:10:00-04:00,ISONE,13311.619,True
2025-08-09 03:15:00+00:00,2025-08-08 23:15:00-04:00,ISONE,13212.977,True
2025-08-09 03:20:00+00:00,2025-08-08 23:20:00-04:00,ISONE,13132.925,True
2025-08-09 03:25:00+00:00,2025-08-08 23:25:00-04:00,ISONE,13014.57,True
2025-08-09 03:30:00+00:00,2025-08-08 23:30:00-04:00,ISONE,12943.491,True
2025-08-09 03:35:00+00:00,2025-08-08 23:35:00-04:00,ISONE,12883.313,True
2025-08-09 03:40:00+00:00,2025-08-08 23:40:00-04:00,ISONE,12749.745,True
2025-08-09 03:45:00+00:00,2025-08-08 23:45:00-04:00,ISONE,12612.477,True
2025-08-09 03:50:00+00:00,2025-08-08 23:50:00-04:00,ISONE,12584.77,True
2025-08-09 03:55:00+00:00,2025-08-08 23:55:00-04:00,ISONE,12472.469,True
2025-08-09 04:00:00+00:00,2025-08-09 00:00:00-04:00,ISONE,12434.5,True
2025-08-09 04:05:00+00:00,2025-08-09 00:05:00-04:00,ISONE,12335.159,True
2025-08-09 04:10:00+00:00,2025-08-09 00:10:00-04:00,ISONE,12270.128,True
2025-08-09 04:15:00+00:00,2025-08-09 00:15:00-04:00,ISONE,12215.827,True
2025-08-09 04:20:00+00:00,2025-08-09 00:20:00-04:00,ISONE,12187.555,True
2025-08-09 04:25:00+00:00,2025-08-09 00:25:00-04:00,ISONE,12137.57,True
2025-08-09 04:30:00+00:00,2025-08-09 00:30:00-04:00,ISONE,12089.789,True
2025-08-09 04:35:00+00:00,2025-08-09 00:35:00-04:00,ISONE,11919.492,True
2025-08-09 04:40:00+00:00,2025-08-09 00:40:00-04:00,ISONE,11895.925,True
2025-08-09 04:45:00+00:00,2025-08-09 00:45:00-04:00,ISONE,11821.704,True
2025-08-09 04:50:00+00:00,2025-08-09 00:50:00-04:00,ISONE,11737.883,True
2025-08-09 04:55:00+00:00,2025-08-09 00:55:00-04:00,ISONE,11705.065,True
2025-08-09 05:00:00+00:00,2025-08-09 01:00:00-04:00,ISONE,11658.116,True
2025-08-09 05:05:00+00:00,2025-08-09 01:05:00-04:00,ISONE,11807.267,True
2025-08-09 05:10:00+00:00,2025-08-09 01:10:00-04:00,ISONE,11806.774,True
2025-08-09 05:15:00+00:00,2025-08-09 01:15:00-04:00,ISONE,11757.199,True
2025-08-09 05:20:00+00:00,2025-08-09 01:20:00-04:00,ISONE,11663.676,True
2025-08-09 05:25:00+00:00,2025-08-09 01:25:00-04:00,ISONE,11631.705,True
2025-08-09 05:30:00+00:00,2025-08-09 01:30:00-04:00,ISONE,11573.266,True
2025-08-09 05:35:00+00:00,2025-08-09 01:35:00-04:00,ISONE,11530.743,True
2025-08-09 05:40:00+00:00,2025-08-09 01:40:00-04:00,ISONE,11483.787,True
2025-08-09 05:45:00+00:00,2025-08-09 01:45:00-04:00,ISONE,11451.777,True
2025-08-09 05:50:00+00:00,2025-08-09 01:50:00-04:00,ISONE,11411.914,True
2025-08-09 05:55:00+00:00,2025-08-09 01:55:00-04:00,ISONE,11404.859,True
